Country,category,term_frequency,TopicShare,TopicShare_pct
Maldives,Housing and thermal comfort,1,0.0035335689045936,0.353
Maldives,Welfare and care,10,0.0353356890459364,3.534
Mali,Governance and planning,2,1.0,100.0
Malta,Affordability and income constraints,3,0.0118110236220472,1.181
Malta,Energy transition and efficiency,2,0.0078740157480314,0.787
Malta,Governance and planning,223,0.8779527559055118,87.795
Malta,Household behaviour and adoption,4,0.0157480314960629,1.575
Malta,Housing and thermal comfort,7,0.0275590551181102,2.756
Malta,Welfare and care,15,0.0590551181102362,5.906
Marshall Islands,Energy transition and efficiency,4,0.2352941176470588,23.529
Marshall Islands,Governance and planning,8,0.4705882352941176,47.059
Marshall Islands,Housing and thermal comfort,3,0.1764705882352941,17.647
Marshall Islands,Welfare and care,2,0.1176470588235294,11.765
Mauritius,Affordability and income constraints,3,0.0091743119266055,0.917
Mauritius,Energy transition and efficiency,7,0.0214067278287461,2.141
Mauritius,Governance and planning,280,0.8562691131498471,85.627
Mauritius,Health and vulnerability,8,0.0244648318042813,2.446
Mauritius,Household behaviour and adoption,10,0.0305810397553516,3.058
Mauritius,Housing and thermal comfort,1,0.0030581039755351,0.306
Mauritius,Welfare and care,18,0.055045871559633,5.505
Mexico,Affordability and income constraints,2,0.0058823529411764,0.588
Mexico,Energy transition and efficiency,5,0.0147058823529411,1.471
Mexico,Governance and planning,264,0.7764705882352941,77.647
Mexico,Health and vulnerability,45,0.1323529411764706,13.235
Mexico,Household behaviour and adoption,12,0.0352941176470588,3.529
Mexico,Housing and thermal comfort,6,0.0176470588235294,1.765
Mexico,Welfare and care,6,0.0176470588235294,1.765
Micronesia,Affordability and income constraints,2,0.0266666666666666,2.667
Micronesia,Governance and planning,60,0.8,80.0
Micronesia,Welfare and care,13,0.1733333333333333,17.333
Moldova,Governance and planning,81,0.8350515463917526,83.505
Moldova,Health and vulnerability,2,0.0206185567010309,2.062
Moldova,Household behaviour and adoption,2,0.0206185567010309,2.062
Moldova,Housing and thermal comfort,8,0.0824742268041237,8.247
Moldova,Welfare and care,4,0.0412371134020618,4.124
Monaco,Governance and planning,1,0.3333333333333333,33.333
Monaco,Welfare and care,2,0.6666666666666666,66.667
Mongolia,Affordability and income constraints,3,0.0241935483870967,2.419
Mongolia,Governance and planning,105,0.8467741935483871,84.677
Mongolia,Health and vulnerability,5,0.0403225806451612,4.032
Mongolia,Household behaviour and adoption,2,0.0161290322580645,1.613
Mongolia,Housing and thermal comfort,1,0.0080645161290322,0.806
Mongolia,Welfare and care,8,0.064516129032258,6.452
Montenegro,Energy transition and efficiency,1,0.0087719298245614,0.877
Montenegro,Governance and planning,99,0.868421052631579,86.842
Montenegro,Household behaviour and adoption,4,0.0350877192982456,3.509
Montenegro,Housing and thermal comfort,3,0.0263157894736842,2.632
Montenegro,Welfare and care,7,0.0614035087719298,6.14
Morocco,Governance and planning,52,0.9629629629629628,96.296
Morocco,Housing and thermal comfort,1,0.0185185185185185,1.852
Morocco,Welfare and care,1,0.0185185185185185,1.852
Mozambique,Affordability and income constraints,1,0.0117647058823529,1.176
Mozambique,Governance and planning,72,0.8470588235294118,84.706
Mozambique,Health and vulnerability,2,0.0235294117647058,2.353
Mozambique,Housing and thermal comfort,3,0.0352941176470588,3.529
Mozambique,Welfare and care,7,0.0823529411764705,8.235
Myanmar,Governance and planning,13,1.0,100.0
Namibia,Affordability and income constraints,5,0.0261780104712041,2.618
Namibia,Governance and planning,178,0.9319371727748692,93.194
Namibia,Household behaviour and adoption,1,0.0052356020942408,0.524
Namibia,Housing and thermal comfort,4,0.0209424083769633,2.094
Namibia,Welfare and care,3,0.0157068062827225,1.571
Nepal,Affordability and income constraints,3,0.0095238095238095,0.952
Nepal,Energy transition and efficiency,1,0.0031746031746031,0.317
Nepal,Governance and planning,259,0.8222222222222222,82.222
